Profile_Name,Rating_Star,Headings,Base_Reviews,
John D,1.0 out of 5 stars,Steep price for a print app!,"Downloaded this on a Kindle Fire 8 HD.  No indication it was a ""pay only app"".  No Free trial...  It installed no problem, setup to my printer was easy, but then I tried to print a 1 page document, it said I needed to install and pay for the premium version.  UNINSTALLED.  Got a different FREE app that works.  I don't want to pay $9.95 for something I might use maybe once a month or less...",
Vickie G.,1.0 out of 5 stars,False advertising ?,"It's free to download the app, but if you want to actually use it, you need to upgrade to premium for $4.99. It's not free. I installed it, ran the setup wizard, gave it access to the printer and my files to find out I have to upgrade at a cost, to actually use it.  I am uninstalling frim my Kindle Fire as soon as I finish posting this review.",
tiggermommy,1.0 out of 5 stars,Do Not Download.,I download this app to my Kindle Fire HD. I tried to print and it would not let me print unless I upgraded to paying for the app.,
J Q Public,1.0 out of 5 stars,Don't know how it works 'cause I couldn't print anything.,"Dirty trickster! It found my printer and printed a test page just fine. But I should have been alerted to the ""free download"" in the description. It wouldn't let me print anything but the test page without buying the app!",
NanaB,5.0 out of 5 stars,Five Stars,Love this for my kindle print needs,
Susan L. L.,1.0 out of 5 stars,Not FREE,"The app installed easy, it recognized the printer right away, it did a perfect test print.  When I tried to print a document, it wanted money.  I deleted it!",
jdwh,5.0 out of 5 stars,Efficient and FREE!,Makes my Amazon Fire print wirelessly and simply,
Kindle Customer,5.0 out of 5 stars,it worked,I was able to set up y printer after having such a dullicult time doing it before,
a human,1.0 out of 5 stars,"Started asking for money, not free.","It did work for one page with older Brother printer and Fire 8 tablet, before asking for money.  Now removed.",
DB126,4.0 out of 5 stars,Wow - I can print!,"This is a pretty solid alternative to Cloud Print for devices on the same subnet while bridging to CP for off-network access. It offers a variety of detection/connections options including a wizard that instantly found all the printers on my home network - although some were inaccurately identified as ""WiFi"" devices when they are actually network printers hardwired to the router. Device configuration options are far superior to Cloud Print and are similar to what you might find in the 'properties' dialog on Windows (eg: paper type, size and duplex settings). Supports most Android apps either via dedicated print (eg: Gmail) or sharing links (look for Hammermill in list of destinations) within the app. Supports preview - woohoo! Does not interfere with the operation of my device, doesn't constantly run in the background and only displays a single non-intrusive ad after print job has been submitted. Works on Kindle HDX along with several relatively standard Android devices. Downside: configuration options can be confusing (-1 star) so plan to spend a few minutes learning the app after novelty of actually being able to print to the device of your choice wears off. This appears to be a sponsored version of ""Print Hand"" which is a paid app that offers no appreciable benefits IMO.",
