Profile_Name,Rating_Star,Headings,Base_Reviews,category
Amazon Customer,1.0 out of 5 stars,Paula,"I like it, but it doesn't do what I need. I need to be able to save documents. Work on documents offline when my Internet is down.  I need to work on my documents when my Internet is up and running. So this doesn't do what I need. I am disappointed that I am going to have to uninstall this because I like it,but it doesn't do all I need.",feature
Dickinson.,4.0 out of 5 stars,"A good app, But...","While it's easy to use and user-friendly, it tends to crash frequently Ã°Å¸Â¤â. SO, make certain that you SAVE your work everytime you make any changes! The cost to purchase the full version is very reasonable, although, right now, outside my budget Ã°Å¸ËÂ¥!It definitely beats Microsoft Office's Free version! Much easier to use with the menus' organization and configuration. Basically, I LOVE this application Ã°Å¸ââ Ã°Å¸ââ Ã°Å¸âï¿½!!",user_experience
Robert Gilmore,1.0 out of 5 stars,When iPhone app connects strange messages appear,Initially connecting an iPhone using the Screen Mirroring companion App to the Fire Stick Screen Mirroring App the connection works but after a couple of minutes a message appears on the TV that there is an error described as unauthorized use. You can't get rid of that message even when you exit the Fire Stick App. The only way to get rid of the message is to actually reboot the Fire Stick. Although there is nu charge for the Screen Mirroring Fire Stick App I had to pay for the companion iPhone version which turned out to be two different applications from that company. So I have invested money in something that DOES NOT WORK. The company's answer was I had to wait for a new update in their application. They should have refunded my money for the iPhone apps.,issue
Davvid,1.0 out of 5 stars,Other,"I noticed that the app has a privacy policy update, but it’s not very clear about how my data will be used. Also, I couldn’t find any details about whether the app complies with GDPR or other international data protection laws. I usually like to know how my personal information is handled, especially when apps require access to my contacts and location. It would be helpful if the developers provided more transparency on this",other_information
Maxine Nunamaker,3.0 out of 5 stars,Not simple but made it work,Thanks to a previous review I was able to make it work on a Kindle Fire HD. In the Print Preview screen go to the Protocol setting at the bottom of the left menu bar. Change LPD to IPP.,other_information
Amazon Customer,3.0 out of 5 stars,Not free printing,Sure it works great as recommended but what I really needed to do was print and it won't let you do that without paying for it.,other_information
Billie Baird,2.0 out of 5 stars,Recipe ap not useful for me,I wanted some straight up recipes.  This ap is more of a book for collecting recipes you've found on other sites.  Uninstalled.,feature
Hitgirlk,1.0 out of 5 stars,Deleted it almost immediately,Deleted the app in less than 5 minutes,feature
bernard gunter,5.0 out of 5 stars,FiveStar,This is a great app to use when you want to talk to friends or anybody,user_experience
Breal,2.0 out of 5 stars,Doesn't work,"The customizable dashboard feature has transformed how I interact with the app, allowing me to access my most-used functions quickly. This level of personalization has made the app indispensable for my daily routines",feature
Amazon Customer,5.0 out of 5 stars,Five Stars,"I like this printer, easy to install. The copy came out clear.",user_experience
Amazon Customer,1.0 out of 5 stars,Paula,"I like it, but it doesn't do what I need. I need to be able to save documents. Work on documents offline when my Internet is down.  I need to work on my documents when my Internet is up and running. So this doesn't do what I need. I am disappointed that I am going to have to uninstall this because I like it,but it doesn't do all I need.",feature
Amber rose,2.0 out of 5 stars,no order,"It starts you sort of at the middle.. I learn to memorize words, but it doesn't teach you context or say the difference for words such as the, a, at, am, I... I should learn a bit more than memorize.",issue
Ian Morris,5.0 out of 5 stars,2 people found this helpful,Not convinced but a bit of fun,other_information
Dawn2416,3.0 out of 5 stars,ChefTap Recipe App,Not what I wanted so I deleted it from my kindle. I would not use this app. I didn't like it,feature
Didi,5.0 out of 5 stars,3 people found this helpful,It's actually good(:,other_information
Kenya smith,4.0 out of 5 stars,why i think sype is,it's great,user_experience
